TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
BUY,1000,0,0.77362256801543594,0,0.00059849187774279786,-1,1292.619995
None,0,0,0.0,0.77362256801543594,0.77362256801543594,1292.619995,1287.880005
SELL,0,995.47432731767378,995.47432731767378,0.77362256801543594,0,1287.880005,1286.7700199999999
None,995.47432731767378,995.47432731767378,0.0,0,0,1286.7700199999999,1277.719971
None,995.47432731767378,995.47432731767378,0.0,0,0,1277.719971,1290.079956
None,995.47432731767378,995.47432731767378,0.0,0,0,1290.079956,1285.2299800000001
BUY,995.47432731767378,0,0.77735602632206924,0,0.0006070296089779523,1285.2299800000001,1280.589966
SELL,0,1002.8514282339099,1002.8514282339099,0.77735602632206924,0,1280.589966,1290.079956
None,1002.8514282339099,1002.8514282339099,0.0,0,0,1290.079956,1289.969971
BUY,1002.8514282339099,0,0.78589673045625041,0,0.00061587754033468295,1289.969971,1276.0600589999999
SELL,0,1003.2836132793029,1003.2836132793029,0.78589673045625041,0,1276.0600589999999,1276.6099850000001
BUY,1003.2836132793029,0,0.77299338885878466,0,0.00059556318005270334,1276.6099850000001,1297.920044
None,0,0,0.0,0.77299338885878466,0.77299338885878466,1297.920044,1287.880005
None,0,0,0.0,0.77299338885878466,0.77299338885878466,1287.880005,1282.0200199999999
SELL,0,989.88757755689585,989.88757755689585,0.77299338885878466,0,1282.0200199999999,1280.589966
BUY,989.88757755689585,0,0.77146319835058008,0,0.0006012354128922268,1280.589966,1283.130005
SELL,0,986.73231930539066,986.73231930539066,0.77146319835058008,0,1283.130005,1279.040039
BUY,986.73231930539066,0,0.77339818911535074,0,0.00060618746059515642,1279.040039,1275.839966
SELL,0,988.01618659486053,988.01618659486053,0.77339818911535074,0,1275.839966,1277.5
BUY,988.01618659486053,0,0.76822060175114848,0,0.00059732107728807378,1277.5,1286.1099850000001
SELL,0,984.11365973967122,984.11365973967122,0.76822060175114848,0,1286.1099850000001,1281.030029
None,984.11365973967122,984.11365973967122,0.0,0,0,1281.030029,1284.01001
None,984.11365973967122,984.11365973967122,0.0,0,0,1284.01001,1299.3599850000001
BUY,984.11365973967122,0,0.76315683823418057,0,0.0005918100556572464,1299.3599850000001,1289.530029
SELL,0,985.884143157062,985.884143157062,0.76315683823418057,0,1289.530029,1291.849976
None,985.884143157062,985.884143157062,0.0,0,0,1291.849976,1280.369995
BUY,985.884143157062,0,0.77535262295961238,0,0.00060977924647944934,1280.369995,1271.530029
None,0,0,0.0,0.77535262295961238,0.77535262295961238,1271.530029,1269.660034
